               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12622,             0.23746,                   0,           0.0069667,            0.055438,           0.0043924,             0.00094,             0.13069,             0.19057,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.12243,             0.25337,                   0,            0.016667,             0.13263,            0.012548,           0.0030788,             0.12615,             0.21093,                   0,            0.088287,           0.0012871,           0.0012871
                   2,             0.11862,             0.23392,                   0,            0.062279,             0.11194,            0.031144,           0.0072454,             0.11883,             0.23558,                   0,             0.08196,           0.0019604,           0.0019604
                   3,             0.11586,             0.23031,                   0,            0.096451,             0.17162,            0.052032,            0.012235,             0.11502,             0.32303,                   0,             0.07562,           0.0026198,           0.0026198
                   4,             0.11067,             0.22004,                   0,             0.10074,             0.21459,            0.062464,            0.014785,             0.11131,             0.29401,                   0,            0.069265,           0.0032654,           0.0032654
                   5,             0.10598,             0.23149,                   0,             0.12205,             0.28382,             0.09227,            0.023221,             0.11091,             0.36097,                   0,            0.062897,            0.003897,            0.003897
                   6,             0.10095,             0.22912,                   0,             0.18556,             0.37468,               0.168,            0.043491,            0.098043,              0.4151,                   0,            0.056515,           0.0045149,           0.0045149
                   7,             0.09888,             0.24314,                   0,              0.1018,             0.43793,            0.079959,            0.021919,             0.10389,             0.38892,                   0,            0.050119,           0.0051188,           0.0051188
                   8,            0.093534,             0.24559,                   0,             0.22985,              0.4244,             0.19899,            0.055813,            0.089626,             0.28929,                   0,            0.043709,            0.005709,            0.005709
                   9,            0.092829,             0.24413,                   0,             0.24928,             0.49496,             0.22077,             0.06359,            0.086859,              0.3303,                   0,            0.037285,           0.0062852,           0.0062852
                  10,            0.086851,             0.26311,                   0,             0.32301,             0.55129,             0.29947,            0.089931,            0.077752,             0.32254,                   0,            0.030848,           0.0068476,           0.0068476
                  11,            0.088994,             0.25087,                   0,             0.26688,              0.3817,             0.20393,            0.051265,             0.10184,             0.27781,                   0,            0.024396,           0.0073961,           0.0073961
                  12,            0.094384,             0.23329,                   0,             0.19644,             0.41034,             0.15466,            0.042448,            0.092718,             0.35242,                   0,            0.017931,           0.0079308,           0.0079308
                  13,            0.088895,             0.27328,                   0,             0.47104,             0.56124,             0.48076,             0.14054,            0.079862,             0.30863,                   0,            0.011452,           0.0084516,           0.0084516
                  14,            0.088991,             0.29453,                   0,            0.063396,             0.48966,            0.050894,             0.01434,             0.10024,             0.49365,                   0,            0.008614,            0.008614,            0.008614
                  15,            0.087996,             0.26089,                   0,             0.27483,             0.52573,             0.28566,            0.076209,            0.081857,             0.30677,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.08594,             0.24493,                   0,             0.37592,             0.54987,              0.4021,             0.12529,            0.087046,             0.30089,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.078702,             0.26381,                   0,             0.25514,             0.49462,             0.26688,            0.083817,            0.092675,             0.37336,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.079104,             0.26811,                   0,             0.35879,             0.56127,             0.37624,             0.12163,            0.085579,             0.35246,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.075417,             0.27092,                   0,             0.40351,              0.6061,             0.46469,             0.14362,            0.075375,             0.36505,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.073039,             0.26217,                   0,             0.36933,              0.5191,             0.37536,             0.11115,            0.072038,             0.28794,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.073788,             0.25318,                   0,             0.27874,             0.52706,             0.27388,            0.082236,            0.092367,             0.37389,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.080691,              0.2364,                   0,             0.56708,             0.67639,              0.6133,             0.19448,            0.068996,             0.31165,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.076745,             0.25575,                   0,             0.53717,             0.67021,             0.55542,             0.18294,            0.069673,             0.30465,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.075188,             0.25136,                   0,             0.38542,             0.57374,             0.39221,              0.1012,            0.074358,             0.29422,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.064159,             0.26503,                   0,             0.63468,             0.64147,             0.65612,             0.21781,            0.061867,             0.31303,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.065279,             0.27553,                   0,             0.70803,             0.67155,             0.71864,             0.23593,            0.063792,             0.29513,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.07019,             0.23884,                   0,             0.60711,             0.67347,             0.65521,             0.21697,            0.063655,             0.27371,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.066793,              0.2646,                   0,             0.57356,             0.67931,             0.62053,             0.21946,            0.063538,             0.28899,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.069101,             0.24437,                   0,             0.22467,             0.50769,             0.23096,            0.083497,            0.086608,             0.25884,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.07318,             0.23675,                   0,             0.62924,              0.7366,              0.6462,             0.23988,            0.060813,             0.27451,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.063536,             0.25062,                   0,             0.76334,             0.69682,             0.76986,             0.26822,            0.062973,             0.27366,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.069513,             0.23754,                   0,             0.39009,              0.6255,             0.43428,              0.1281,            0.069812,             0.27647,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.062131,             0.26844,                   0,             0.48839,             0.78193,             0.50935,             0.18151,            0.058546,             0.33383,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.062622,             0.25798,                   0,             0.35664,             0.65782,             0.38745,             0.13158,            0.069681,             0.31754,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.066404,             0.26176,                   0,             0.61636,              0.6992,             0.69617,             0.24884,            0.061491,             0.29283,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.062555,             0.25048,                   0,             0.77515,             0.76074,             0.81864,             0.32487,            0.056398,             0.26837,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.064626,               0.265,                   0,             0.59447,             0.75836,             0.64123,             0.23272,            0.061594,             0.29467,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.063651,             0.25529,                   0,             0.47859,             0.68966,             0.55602,             0.21449,            0.061373,             0.28608,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.061383,             0.26345,                   0,             0.60494,             0.74859,             0.68292,             0.26697,            0.058794,             0.27733,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.061771,             0.24285,                   0,             0.62502,             0.74762,             0.72515,             0.29705,            0.056948,             0.26388,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.060781,              0.2591,                   0,             0.39502,             0.68462,             0.43779,             0.14781,            0.066874,             0.27498,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.066324,             0.25903,                   0,             0.54344,             0.67639,             0.64351,             0.25387,            0.060084,             0.25829,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.065568,             0.24444,                   0,              0.8371,             0.79655,             0.86039,             0.35021,            0.054308,             0.26181,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.060416,             0.25177,                   0,             0.75826,              0.7634,             0.80749,             0.31045,            0.057067,             0.26987,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.060272,             0.25412,                   0,             0.56621,             0.71326,             0.64541,             0.23065,            0.058827,             0.26274,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.059519,             0.25742,                   0,             0.74705,             0.79549,             0.79614,             0.31174,            0.055363,             0.27485,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.057623,             0.24079,                   0,             0.65754,             0.74562,             0.75476,             0.30165,            0.056329,             0.26153,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.059996,             0.23601,                   0,             0.86255,               0.814,             0.88553,              0.3716,            0.052924,             0.26012,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.058467,             0.24516,                   0,             0.78234,             0.78117,              0.8349,             0.30407,             0.05732,             0.26358,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.060601,             0.25344,                   0,             0.79663,             0.76579,             0.79875,               0.254,            0.061442,             0.26199,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.06167,             0.25216,                   0,             0.75002,             0.74164,             0.76577,               0.254,            0.060497,             0.25983,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.060746,             0.24954,                   0,             0.86734,             0.82069,              0.8877,             0.37286,            0.052544,             0.26011,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.057423,             0.24032,                   0,              0.8495,             0.78004,             0.86468,             0.34526,             0.05438,             0.26058,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.058694,             0.23739,                   0,             0.83236,             0.77045,             0.85876,             0.33256,            0.054613,             0.25645,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.057236,             0.25349,                   0,             0.86288,             0.79867,             0.88108,             0.35665,            0.053557,             0.25698,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.05799,             0.24544,                   0,             0.85873,              0.8094,             0.87543,             0.35209,            0.054082,             0.25714,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.058927,             0.25292,                   0,             0.76743,              0.7695,             0.82721,             0.33792,            0.055829,             0.25783,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.056746,             0.24053,                   0,             0.84752,             0.82069,             0.87541,             0.34733,            0.053472,             0.25874,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.056195,             0.23507,                   0,              0.8702,             0.80504,             0.88867,             0.37881,             0.05285,             0.25883,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.055954,             0.22761,                   0,             0.87082,             0.81247,             0.89242,             0.38329,            0.051219,             0.25628,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.057614,             0.25749,                   0,             0.87125,             0.83825,             0.90068,             0.38528,            0.052997,              0.2575,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.056133,             0.24631,                   0,             0.87799,             0.82073,             0.89256,             0.38676,            0.051821,             0.25415,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.055367,             0.22733,                   0,             0.88283,             0.84005,             0.90732,             0.40478,            0.050871,             0.25298,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.056532,             0.24512,                   0,             0.87343,             0.85093,             0.90461,              0.4046,            0.049735,             0.26012,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.057975,             0.23786,                   0,             0.86825,             0.83554,             0.89432,              0.3512,            0.053893,             0.25635,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.056581,             0.24035,                   0,             0.85608,             0.82834,             0.88314,             0.35267,            0.053008,             0.25511,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.055869,             0.23096,                   0,             0.87907,             0.84748,             0.91546,             0.41258,            0.049848,             0.25224,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.055594,             0.24078,                   0,             0.87866,              0.8496,             0.91746,             0.41319,            0.049833,             0.25589,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.054237,             0.22994,                   0,             0.89159,             0.84005,             0.91641,             0.42248,            0.049558,             0.25077,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.052942,             0.23502,                   0,             0.88835,             0.84629,              0.9139,             0.42012,            0.049499,             0.25314,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.05492,             0.24943,                   0,             0.88482,             0.85305,             0.91955,             0.42814,            0.048983,             0.24994,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.052737,             0.24811,                   0,             0.88997,             0.85491,             0.91648,             0.41072,            0.049528,             0.25292,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.054346,             0.24304,                   0,              0.8819,             0.86362,             0.91539,             0.39393,            0.050716,             0.25172,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.055075,             0.23611,                   0,             0.89469,             0.84954,             0.92097,             0.41752,            0.049873,             0.24901,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.054383,             0.24063,                   0,             0.89711,             0.84297,             0.91613,             0.42419,            0.048806,             0.24844,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.055666,             0.22905,                   0,             0.88938,             0.85385,             0.91502,             0.41002,            0.049677,             0.24969,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.053985,             0.24242,                   0,             0.89078,             0.86103,             0.91675,             0.42288,            0.048888,             0.25066,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.052935,             0.22949,                   0,             0.89068,             0.85252,             0.91666,             0.41182,            0.049663,             0.24796,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.053648,             0.24078,                   0,             0.89539,             0.86502,             0.92487,             0.42974,            0.048792,             0.24852,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.05237,             0.23948,                   0,             0.89656,             0.86048,             0.92314,              0.4263,            0.048601,             0.24724,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.053873,             0.23528,                   0,             0.90362,             0.86419,             0.92496,             0.43657,             0.04831,             0.24724,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.054132,             0.23903,                   0,             0.90265,             0.86815,             0.92812,             0.43849,            0.048113,             0.24765,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.052844,             0.23693,                   0,             0.88904,             0.86844,             0.92182,             0.41691,            0.049036,             0.25099,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.053869,             0.24103,                   0,             0.89394,             0.87191,             0.92623,             0.43591,            0.048105,              0.2493,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.053027,             0.23527,                   0,             0.89725,             0.87088,             0.92828,             0.43944,            0.048086,             0.24857,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.053374,             0.24815,                   0,              0.8956,             0.86658,             0.92276,              0.4162,            0.049186,             0.24924,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.053113,             0.25034,                   0,             0.89474,             0.87692,             0.92884,             0.43813,            0.048006,              0.2497,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.052636,             0.23466,                   0,             0.89849,             0.86866,             0.92805,             0.43625,            0.048154,             0.24788,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.051958,             0.23606,                   0,             0.90544,             0.86604,              0.9276,             0.43648,            0.048052,             0.24701,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.052613,             0.23959,                   0,             0.90303,             0.86764,             0.92709,             0.43786,            0.047867,              0.2462,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.053508,             0.25214,                   0,             0.90466,             0.86833,             0.92831,              0.4365,            0.047988,             0.24645,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.051121,             0.22414,                   0,             0.90547,             0.86637,             0.92791,             0.44177,            0.047739,             0.24557,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.052779,             0.23397,                   0,             0.90461,              0.8653,             0.92734,             0.44185,            0.047788,             0.24528,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.052767,             0.24258,                   0,             0.90009,             0.86552,             0.92546,             0.43552,            0.047974,             0.24522,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.052177,             0.22361,                   0,             0.90334,             0.86761,             0.92906,             0.44069,            0.047672,             0.24514,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.053017,             0.23861,                   0,             0.90318,             0.86601,             0.92785,             0.44285,            0.047594,             0.24484,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.05113,             0.22552,                   0,             0.90221,             0.86817,             0.92782,             0.44383,            0.047584,             0.24464,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.053202,             0.24176,                   0,             0.90013,             0.86499,             0.92615,             0.44531,            0.047504,             0.24461,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.051954,             0.22552,                   0,             0.90063,              0.8695,             0.92768,             0.44641,            0.047426,             0.24438,                   0,            0.000298,            0.000298,            0.000298
